"id","condition","age","gender","Number_TriCir","Number_Cross","Number_Vert","Number_Horz","Init_Horz","Init_Vert","TwoBlocks_TenBlocks","Pattern_NoPattern","Sampling","TwoPile_Castle","Vert_Horz","Adult_Child","Sling_TwoHands","OneAgent_TwoAgent"
59704647,"easy",23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74341313,"easy",22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65049070,"easy",24,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87369250,"easy",30,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
93026643,"easy",24,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
38206535,"easy",29,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
17976937,"easy",28,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
54934847,"easy",53,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
28741547,"easy",27,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1
21838719,"easy",26,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
22956525,"easy",53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
22609474,"easy",32,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
93662417,"easy",34,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
60621793,"easy",34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72737122,"easy",27,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
72283179,"easy",55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94708930,"easy",29,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
59890715,"easy",24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27274645,"easy",26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19150731,"easy",31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49423665,"easy",41,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28912623,"easy",50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
75199666,"easy",53,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89421776,"easy",30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74341313,"hard",29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65049070,"hard",32,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93026643,"hard",23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66455121,"hard",59,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17976937,"hard",40,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
54934847,"hard",41,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
99531281,"hard",52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21838719,"hard",38,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22956525,"hard",35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87730926,"hard",45,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93662417,"hard",36,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60621793,"hard",32,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
72737122,"hard",33,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57263679,"hard",30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72283179,"hard",33,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
27274645,"hard",22,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
19150731,"hard",27,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
49423665,"hard",28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75199666,"hard",22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89421776,"hard",28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83739525,"hard",21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
